# stm32-ai-deployer watch trace v1
# board=STM32H7 elf= model=anomaly_cnn_int8 started=2026-09-09T12:41:08
# targetHz=200 items=6
# item,0,_end,0x20002c00,u32,hex,1,0,,bssEnd
# item,1,g_ai_last_inference_us,0x20000f24,u32,dec,0.001,0,ms,inferenceUs
# item,2,g_ai_infer_count,0x20000f20,u32,dec,1,0,,inferCount
# item,3,g_ai_last_class,0x20000f1c,u8,dec,1,0,,lastClass
# item,4,g_ai_last_confidence,0x20000f1b,u8,dec,1,0,%,confidence
# item,5,uwTick,0x20002aac,u32,dec,1,0,ms,hwTick
t,0,1,2,3,4,5
15.580298,745931122,926,66382,1,99,3123626
15.585961,745931122,926,66382,1,99,3123632
15.590793,745931122,926,66382,1,99,3123637
15.595790,745931122,926,66382,1,99,3123641
15.600799,745931122,926,66382,1,99,3123646
15.605801,745931122,926,66382,1,99,3123651
15.610944,745931122,926,66382,1,99,3123656
15.615632,745931122,926,66382,1,99,3123661
15.620627,745931122,926,66382,1,99,3123666
15.625142,745931122,926,66382,1,99,3123670
15.630162,745931122,926,66383,1,99,3123676
15.635250,745931122,926,66383,1,99,3123681
15.640284,745931122,926,66383,1,99,3123686
15.645285,745931122,926,66383,1,99,3123691
15.650322,745931122,926,66383,1,99,3123696
15.655800,745931122,926,66383,1,99,3123701
15.660876,745931122,926,66383,1,99,3123706
15.665775,745931122,926,66383,1,99,3123711
15.670847,745931122,926,66383,1,99,3123716
15.675890,745931122,926,66384,1,99,3123721
15.680534,745931122,926,66384,1,99,3123726
15.685146,745931122,926,66384,1,99,3123731
15.690118,745931122,926,66384,1,99,3123735
15.695038,745931122,926,66384,1,99,3123740
15.700392,745931122,926,66384,1,99,3123746
15.705184,745931122,926,66384,1,99,3123750
15.710364,745931122,926,66384,1,99,3123755
15.715057,745931122,926,66384,1,99,3123760
15.720040,745931122,926,66385,1,99,3123765
15.724967,745931122,926,66385,1,99,3123770
15.729992,745931122,926,66385,1,99,3123775
15.735154,745931122,926,66385,1,99,3123780
15.740009,745931122,926,66385,1,99,3123785
15.745012,745931122,926,66385,1,99,3123790
15.749999,745931122,926,66385,1,99,3123795
15.755622,745931122,926,66385,1,99,3123801
15.760203,745931122,926,66385,1,99,3123805
15.765199,745931122,926,66385,1,99,3123810
15.770184,745931122,926,66386,1,99,3123815
15.775192,745931122,926,66386,1,99,3123820
15.780280,745931122,926,66386,1,99,3123825
15.785269,745931122,926,66386,1,99,3123830
15.790182,745931122,926,66386,1,99,3123835
15.795189,745931122,926,66386,1,99,3123840
15.800194,745931122,926,66386,1,99,3123845
15.805198,745931122,926,66386,1,99,3123850
15.810203,745931122,926,66386,1,99,3123855
15.815329,745931122,926,66387,1,99,3123860
15.820305,745931122,926,66387,1,99,3123865
15.825588,745931122,926,66387,1,99,3123870
15.830545,745931122,926,66387,1,99,3123875
15.835555,745931122,926,66387,1,99,3123880
15.840533,745931122,926,66387,1,99,3123885
15.845587,745931122,926,66387,1,99,3123890
15.850553,745931122,926,66387,1,99,3123895
15.855639,745931122,926,66387,1,99,3123900
15.860100,745931122,926,66387,1,99,3123905
15.865056,745931122,926,66388,1,99,3123910
15.870059,745931122,926,66388,1,99,3123915
15.875065,745931122,926,66388,1,99,3123919
15.880137,745931122,926,66388,1,99,3123925
15.885637,745931122,926,66388,1,99,3123930
15.890620,745931122,926,66388,1,99,3123935
15.895616,745931122,926,66388,1,99,3123940
